SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
83732.0,9.0,2.0,1.0,62.0,,3.0,3.0,1.0,,2.0,,1.0,1.0,,,5.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,62.0,1.0,5.0,1.0,3.0,134671.370419,135629.507405,1.0,125.0,10.0,10.0,4.39
83733.0,9.0,2.0,1.0,53.0,,3.0,3.0,1.0,,2.0,,2.0,2.0,7.0,,3.0,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,53.0,2.0,3.0,3.0,,24328.560239,25282.425927,1.0,125.0,4.0,4.0,1.32
83734.0,9.0,2.0,1.0,78.0,,3.0,3.0,2.0,,1.0,2.0,1.0,1.0,,,3.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,79.0,1.0,3.0,1.0,3.0,12400.008522,12575.838818,1.0,131.0,5.0,5.0,1.51
83735.0,9.0,2.0,2.0,56.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,5.0,6.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,56.0,1.0,5.0,6.0,,102717.995647,102078.634508,1.0,131.0,10.0,10.0,5.0
83736.0,9.0,2.0,2.0,42.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,4.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,0.0,2.0,0.0,2.0,42.0,1.0,4.0,3.0,,17627.674984,18234.736219,2.0,126.0,7.0,7.0,1.23
83737.0,9.0,2.0,2.0,72.0,,1.0,1.0,1.0,,2.0,,2.0,2.0,2.0,,2.0,4.0,,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,5.0,5.0,1.0,1.0,1.0,1.0,34.0,2.0,5.0,1.0,5.0,11252.311968,10878.684022,1.0,128.0,14.0,14.0,2.82
83738.0,9.0,2.0,2.0,11.0,,1.0,1.0,1.0,141.0,,,1.0,1.0,,6.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,0.0,2.0,1.0,2.0,68.0,2.0,1.0,2.0,,9964.725426,9860.624532,1.0,120.0,6.0,6.0,1.18
83739.0,9.0,2.0,1.0,4.0,,3.0,3.0,2.0,54.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,5.0,5.0,2.0,1.0,0.0,2.0,35.0,1.0,5.0,1.0,5.0,44749.889547,46173.307234,2.0,124.0,15.0,15.0,4.22
83740.0,9.0,2.0,1.0,1.0,13.0,2.0,2.0,2.0,14.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,7.0,7.0,2.0,2.0,0.0,2.0,48.0,2.0,9.0,5.0,,9891.944044,10963.31371,1.0,119.0,77.0,77.0,
83741.0,9.0,2.0,1.0,22.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,4.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,47.0,1.0,4.0,1.0,5.0,37043.087007,39353.307397,2.0,128.0,7.0,7.0,2.08
83742.0,9.0,2.0,2.0,32.0,,1.0,1.0,1.0,,2.0,,2.0,2.0,6.0,,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,0.0,1.0,31.0,1.0,4.0,1.0,4.0,22744.355082,23557.163453,1.0,125.0,6.0,6.0,1.03
83743.0,9.0,2.0,1.0,18.0,,5.0,6.0,1.0,217.0,2.0,,1.0,1.0,,11.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,,,,1.0,3.0,3.0,0.0,0.0,0.0,1.0,55.0,2.0,5.0,1.0,4.0,18526.159589,18249.325929,2.0,122.0,15.0,15.0,5.0
